id	typestrain	url
B_mobilis_0711P9-1_GCF_001884045.fna.gz	mobilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/045/GCF_001884045.1_ASM188404v1/GCF_001884045.1_ASM188404v1_genomic.fna.gz
B_mycoides_DSM_2048_GCF_000003925.fna.gz	mycoides	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/925/GCF_000003925.1_ASM392v1/GCF_000003925.1_ASM392v1_genomic.fna.gz
B_nitratireducens_4049_GCF_001884135.fna.gz	nitratireducens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/135/GCF_001884135.1_ASM188413v1/GCF_001884135.1_ASM188413v1_genomic.fna.gz
B_pacificus_EB422_GCF_001884025.fna.gz	pacificus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/025/GCF_001884025.1_ASM188402v1/GCF_001884025.1_ASM188402v1_genomic.fna.gz
B_paramobilis_BML-BC017_GCF_018332495.fna.gz	paramobilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/332/495/GCF_018332495.1_ASM1833249v1/GCF_018332495.1_ASM1833249v1_genomic.fna.gz
B_paramycoides_NH24A2_GCF_001884235.fna.gz	paramycoides	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/235/GCF_001884235.1_ASM188423v1/GCF_001884235.1_ASM188423v1_genomic.fna.gz
B_paranthracis_Mn5_GCF_001883995.fna.gz	paranthracis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/883/995/GCF_001883995.1_ASM188399v1/GCF_001883995.1_ASM188399v1_genomic.fna.gz
B_pretiosus_SAICEU11T_GCF_025916425.fna.gz	pretiosus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/916/425/GCF_025916425.1_ASM2591642v1/GCF_025916425.1_ASM2591642v1_genomic.fna.gz
B_proteolyticus_TD42_GCF_001884065.fna.gz	proteolyticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/065/GCF_001884065.1_ASM188406v1/GCF_001884065.1_ASM188406v1_genomic.fna.gz
B_pseudomycoides_DSM_12442_GCF_000161455.fna.gz	pseudomycoides	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/455/GCF_000161455.1_ASM16145v1/GCF_000161455.1_ASM16145v1_genomic.fna.gz
B_rhizoplanae_CIP_111899_GCF_917563915.fna.gz	rhizoplanae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/917/563/915/GCF_917563915.1_JJ-63/GCF_917563915.1_JJ-63_genomic.fna.gz
B_sanguinis_BML-BC004_GCF_018332475.fna.gz	sanguinis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/332/475/GCF_018332475.1_ASM1833247v1/GCF_018332475.1_ASM1833247v1_genomic.fna.gz
B_thuringiensis_serovar_berliner_ATCC_10792_GCF_000161615.fna.gz	thuringiensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/615/GCF_000161615.1_ASM16161v1/GCF_000161615.1_ASM16161v1_genomic.fna.gz
B_toyonensis_BCT-7112_GCF_000496285.fna.gz	toyonensis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/285/GCF_000496285.1_ASM49628v1/GCF_000496285.1_ASM49628v1_genomic.fna.gz
B_tropicus_N24_GCF_001884035.fna.gz	tropicus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/035/GCF_001884035.1_ASM188403v1/GCF_001884035.1_ASM188403v1_genomic.fna.gz
B_weihenstephanensis_WSBC_10204_GCF_000775975.fna.gz	weihenstephanensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/775/975/GCF_000775975.1_ASM77597v1/GCF_000775975.1_ASM77597v1_genomic.fna.gz
B_wiedmannii_FSL_W8-0169_GCF_001583695.fna.gz	wiedmannii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/583/695/GCF_001583695.1_ASM158369v1/GCF_001583695.1_ASM158369v1_genomic.fna.gz
